Episode,D-PER-DDQN,PER-DDQN,MS-DDQN
326,235.0,18,-8.899999999999999
327,235.0,20,-10.700000000000003
328,235.0,20,2.4092720756334742
329,243.9522203386975,20,4.500000000000002
330,235.0,18,-10.400000000000006
331,235.0,18,-8.392640937635484
332,227.0,20,-11.600000000000009
333,219.0,18,-16.500000000000007
334,230.0,20,-5.781284916472828
335,203.0,18,-2.700000000000003
336,250.81115714734116,11,-32.708245044651996
337,227.09083669409804,18,-2.200000000000003
338,241.72172342587547,14,-21.80000000000001
339,235.0,20,-16.70000000000001
340,231.57359312880715,18,-5.200000000000003
341,230.0,15,-43.71223485757999
342,235.0,19,-24.06707660232206
343,235.0,20,-0.600000000000005
344,225.0,20,-6.800000000000004
345,230.0,20,-192.29264093763538
346,236.8201416170061,19,-428.4000000000003
347,235.0,18,-32.97559158401301
348,222.0,16,-53.71223485757994
349,227.0,15,-0.10000000000000142
350,237.75647648695303,15,-42.5633520177595
351,235.0,13,-18.88033438206223
352,231.62024821290964,13,-0.6000000000000014
353,235.0,8,-0.6000000000000014
354,224.2970434160942,18,-11.900000000000006
355,235.0,20,-1.5326323579729362
356,219.0,18,-9.700000000000006
357,227.0,20,-11.414552941723528
358,219.0,19,-53.79999999999997
359,235.0,17,-27.100000000000016
360,243.7160843825673,18,-14.500000000000007
361,235.0,16,-11.300000000000004
362,235.0,20,-7.300000000000004
363,235.0,15,-5.300000000000004
364,227.0,19,-6.800000000000004
365,219.0,20,-0.10000000000000497
366,222.0,20,-23.10000000000001
367,222.0,17,-30.70000000000001
368,230.0,20,-10.800000000000008
369,227.0,19,-7.300000000000004
370,214.0,17,-12.267576787826805
371,227.0,19,-12.900000000000006
372,248.771241507178,17,-11.900000000000006
373,211.0,15,-8.400000000000006
374,235.771241507178,13,-29.20000000000001
375,227.0,18,-22.8866562392909
376,235.0,18,-4.800000000000004
377,233.923591472464,19,-11.900000000000006
378,235.0,18,-20.321761756523493
379,227.0,15,-22.70000000000001
380,230.0,18,-12.300000000000004
381,230.0,15,-26.30000000000001
382,235.0,20,-3.693783677615045
383,235.0,18,-3.2000000000000064
384,235.0,16,-0.600000000000005
385,211.0,15,-17.800000000000004
386,230.0,20,-10.832632357972944
387,227.0,20,-27.500000000000007
388,220.0,15,-17.467576787826808
389,235.0,18,-13.793783677615046
390,219.0,20,-14.527846977525996
391,248.57359312880715,17,-2.700000000000003
392,227.0,13,-4.200000000000006
393,235.0,20,-24.500000000000007
394,235.0,17,-11.400000000000006
395,222.0,20,-3.7000000000000064
396,227.0,18,-11.90000000000001
397,227.0,20,-10.300000000000004
398,235.0,13,-3.7000000000000064
399,235.0,20,-27.885506907856964
400,228.02898618428608,20,-8.700000000000006
401,235.0,15,-11.900000000000006
402,222.0,14,-2.700000000000003
403,230.0,20,-7.200000000000003
404,235.0,18,-2.700000000000003
405,235.0,-1,-18.10000000000001
406,235.0,10,-11.400000000000006
407,230.0,15,-2.700000000000003
408,222.0,18,-14.900000000000006
409,245.0,19,-9.800000000000004
410,212.353461039266,14,-17.900000000000006
411,227.0,20,-19.60000000000001
412,235.0,-7,-12.300000000000004
413,227.0,20,-303.9218361872901
414,222.0,19,-13.900000000000006
415,227.0,14,-10.300000000000004
416,222.0,20,-28.72388983065128
417,222.0,13,-9.700000000000003
418,235.0,20,-31.55744211671381
419,230.0,20,-12.900000000000006
420,235.0,19,-6.100000000000001
421,240.0,16,-14.652828849133492
422,235.0,20,-23.271490071420743
423,235.0,18,-8.09639942478291
424,227.0,20,-3.7000000000000064
425,235.9522203386975,15,-32.05851262719866
426,235.0,18,-18.43263235797295
427,235.57359312880715,17,-2.700000000000003
428,235.0,19,-18.314379246411015
429,230.0,20,-18.296399424782912
430,235.0,19,-10.922936993953385
431,227.0,19,-11.900000000000006
432,222.0,20,-31.400000000000013
433,222.0,20,-19.000000000000007
434,219.0,20,-10.300000000000004
435,245.0,15,-16.99072792436653
436,227.0,20,-16.60000000000001
437,242.0829747456027,19,-1.2000000000000028
438,252.97553028484006,15,-5.300000000000004
439,227.0,20,-1.1000000000000014
440,240.0,-36,-9.604768217609077
441,230.74626191999434,20,-11.852583510179016
442,235.0,20,-22.61320343559644
443,222.0,19,-13.900000000000006
444,225.0,16,-26.963585491841798
445,236.02898618428608,20,-14.400000000000006
446,235.0,19,-21.432632357972942
447,235.0,19,-4.760679774997904
448,225.0,14,-19.000000000000007
449,230.0,18,-6.300000000000004
450,235.0,20,-10.900000000000006
451,235.0,20,-21.80000000000001
452,235.0,20,-12.400000000000006
453,227.0,20,-16.500000000000007
454,235.0,20,-250.30000000000007
455,243.57359312880715,19,3.1000000000000014
456,230.0,20,-34.40000000000001
457,245.0,16,-127.39999999999992
458,239.5685424949238,18,-23.200000000000003
459,212.74298014284145,19,-12.696035217812408
460,245.2620968266859,18,-7.800000000000004
461,227.0,20,-17.900000000000006
462,235.0,19,-8.300000000000004
463,225.0,19,-80.2015971610328
464,227.0,16,-9.90000000000001
465,227.0,18,-17.518022497574457
466,227.0,20,-22.100000000000016
467,235.0,20,-17.358512627198664
468,227.0,13,-285.87035562655177
469,247.07569173364539,20,-15.600000000000009
470,235.0,20,-2.200000000000003
471,242.5685424949238,15,-7.300000000000004
472,211.0,12,-4.200000000000003
473,230.0,15,-18.6
474,235.0,16,-23.80000000000001
475,235.0,20,-33.20000000000001
476,230.0,11,-12.400000000000006
